"Write 5 sentences","Write five sentences. They can be as long or as short as you like, but try to make them more than simple descriptive sentences."
"Translate something from social media","Go on Facebook or Tumblr and find a medium-sized post. Translate it into English and post the translation with a link to the original."
"Have a conversation with a friend on Whatsapp","Send a short message or few messages to a friend via Whatsapp / Signal or whatever you use. Tell them what you're up to. Perhaps ask a question or two. Spend the full 10 minutes chatting."
"Record a video of yourself speaking your language","Pick a topic, perhaps from this list (iteslj.org/questions/), and record yourself talking about that topic for 10 minutes. Try to keep speaking, regardless of whether you stumble or forget a word. BONUS: Watch the video back and make a note of things you notice you want to improve or look up as a result."
"Describe the room in which you're sitting","Talk out loud - to yourself, or whoever you're sitting with - and describe all the different objects, colours and features of the room or location in which you're sitting. If you don't know a specific word, try to describe it in another roundabout way that doesn't require you to lapse into your mother-tongue language. Keep going, even if you stumble or forget a word. BONUS: Make a note of any words you'd like to look up in a dictionary."
"Correct a post on Lang-8","Lang-8 is a site where you can get corrections on things you write. It works on an honour-basis, where others correct your sentences and you correct the things they write (in your own mother-tongue language). Take 10 minutes to correct a longer post written on lang-8. This task gives you a karma point. Correct someone else's entry now and you'll get more corrections of your own."
"Teach a grammatical feature","Find a friend (or willing accomplice) and teach them a grammatical feature of the language you're learning. Make sure it's small enough that you can potentially explain it within 10 minutes."
"Write a message to a teacher","If you've been studying for a year or two, you've probably worked with at least one teacher. Send them an email or message in the language you're studying. Let them know what you're up to and what kinds of things you're studying at the moment. Tell them something you appreciate that they taught you."
"Skim the top headlines on a news website","Open up a news site that uses the language you're studying. Skim the top headlines and figure out what's happening in the world. BONUS: Tell a friend what you learned from your 10 minutes of news browsing."
"Reply to someone on social media","Find a tweet, Instagram or Facebook post written in the language you're studying. Read it and reply back in the language you're studying."
"Watch a song on YouTube","Find a song in your target language, listen to the lyrics as you watch. Perhaps turn on the subtitles if the words are hard to distinguish. Try to figure out what the song is about. BONUS: Look up the lyrics afterwards and take a shot at reading them more closely."
"Listen to a poem being recited","Find a poem being recited in your target language. YouTube is probably the best place to find these. Try to understand the gist of the poem. Bear in mind that poetry is much harder to understand than prose, so don't worry if you find this hard."
"Brainstorm connect words","Think of a starter word or topic (anything will do). Write that word or topic in the centre of a blank piece of paper. Then write related / connected words on the rest of the paper. Connect them together with lines like on a mindmap. Use only your target language."
"Get some vocabulary context","Think of a random word or connector particle or verb in your target language. Do a search for that word in Google News and Context Reverso (if your language is supported). Read the sentences that show up, making a note of the particular contexts in which that word or phrase is used."
"Do a grammar drill","Pick a verb. See how quickly you can recall / say all the conjugations out loud, in as many tenses as you are able. If your language has noun and adjective declensions as well, run through those."
"Read a random wikipedia page in your target language","Visit https://meta.wikimedia.org/wiki/List_of_Wikipedias, pick the wiki in your language of study, then on the left hand side find a ""random article"". Read the page for 10 minutes to understand the contents."
"Read any random text you have near you","Read for 10 minutes in any random text you have near you or on your computer / phone. BONUS: Highlight or mark any words you don't understand."
"Prepare 3 things you can say to a taxi driver next time you're taking a cab","Think of three topics that you can discuss with a taxi driver next time you have to take a journey with a taxi. Think of what words would come up in conversation about those three topics. Think what kinds of questions (s)he might ask in response."
"Study using Bliubliu","Bliubliu is a great site for getting some quick reading practice. (If you don't already have an account, take the 10 minutes to get set up). Pick a topic and let Bliubliu give you short texts. Click the words you know so it knows what level you're at."
"Write a short poem","Write a short poem. It can be about anything. Just get writing. Don't spend too much time thinking about this one. The point is to write and use your language."
"Study using Readlang","Readlang is a service that allows you to read longer texts, look up words and test yourself on the new words you learnt while reading. (If you don't already have an account, take the 10 minutes to get set up). Pick a text (either an article you found online, or use the service's own library to suggest a text)."
"Tell a story","Talk for 10 minutes without stopping. The challenge is to keep going, to keep making variations on what you're saying, to keep using connector words and phrases. Tell a story about something that happened to you, or maybe explain something that happened years ago. Keep talking."
"Shadow an audio-transcript recording","Find a site where you can listen to audio recordings alongside transcripts. (News sites are probably your best bet for finding these, and some even have special sections for learners of those languages). Shadow the audio out loud, simultaneously alongside the transcript. Try to keep up with the recording and mimic their intonation."
"Learn about a well-known figure","Research the biography of a well-known figure from the culture or history of the country/people who speak your target language. Use original-language materials. Get the outline of their life story. Start with local-language wikipedia."
"Zero out your Anki","If you don't know what Anki is, start here: https://alexvermeer.com/anki-essentials/. If you're using it already, take these 10 minutes to make progress zeroing out your Anki words for review today."
"Review your language-learning notebook","If you don't have a physical notebook, get one. Write down words you want to know in your target language, words you didn't understand while watching TV and so on. Review the things you've written down during the past week. Add any new words to Anki."
"Play a round or three of Pictionary / charades using your target language","This requires multiple speakers of your target language, but if you have a group around you, get someone to mime a topic, name of a film or book and try guessing what it is using only your target language. Time yourself."
"Write a paragraph of text (no repetition edition)","Write a paragraph of text without using the same word twice. This is very hard to do in practice, even using your mother-tongue. Try not to think too much, though, and keep writing."
"Write a paragraph of text (last-letter edition)","Write a paragraph of text in which the last letter of the previous word determines the first letter of the next word. This is harder than it sounds. Try not to think too much, though, and keep writing."
"Read something written over 100 years ago","Find something written in your target language that was written over 100 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Read something written over 1000 years ago","If your language is old enough, find something written in your target language that was written over 1000 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Talk to a fellow language learner","Find a friend studying the same language as you, someone at a similar competency level. Have a conversation with them."
"Take a photo and write a caption","Write a caption using your target language. Try to really flex your language muscles. Don't settle for a brief or purely descriptive caption. You have ten minutes here, so write about what the photo reminds you of, or what thoughts it provokes."
"Email a friend","Send an email to a friend who speaks your target language. Tell them what you're up to, what you've been studying, or anything else you'd like!"
"Write a summary of the news","Take 10 minutes to write down a summary of the important things going on in the news this week. Don't worry too much about the register or formality level of the language. Just try to communicate the important topics. Keep writing."
"Enquire about flight fares","Find the number of a random travel agent in the country that speaks the language you're learning. (TIP: Use something like Yelp to find a number). Call them up on your phone (or using Skype) and ask if it's possible to book a flight from where you live to another country (it doesn't matter which). Ask how much the tickets cost. Ask for the fare difference between first, business and economy class. Ask what the food options are. End by saying it's too expensive so you can't book, but thank them for their time. Hang up."
"Email a friend about your plans for the coming year","Send an email to a friend who speaks your target language. Tell them what you plan to do during the next 6-12 months. Tell them what you're excited about as well as what you're not looking forward to."
"Read a news article","Read through as much of a news article as is possible in 10 minutes. Either visit BBC News' local-language edition or another website published using your target language"
"Write a summary of an article you read recently","Begin by explaining the overall gist of the article, then get into the specifics of how the piece argued its message. Try to use some of the same vocabulary or phrases that were used in the original article. Don't think too much about this; keep writing. Keep communicating."
"Listen to part of a podcast episode","If you don't use a podcast player, maybe spend the 10 minutes setting this up. Once that's done, do a search online for ""[your language] podcasts"" and pick a few podcasts that interest you. Subscribe to them using your podcast player, and listen to 10 minutes of an episode. Your player will keep your place in the podcast for when you next listen, so don't worry if the 10 minutes finishes before the end of the episode."
"Summarise the last film you saw","Do this in writing or out loud. Describe the plot. Explain whether you liked the film or not. Explain why. BONUS: Record your summary/review and post it to YouTube. Or if you wrote it down, post it to Lang-8."
"Summarise the last book you read","Do this in writing or out loud. Describe the plot. Explain whether you liked the book or not. Explain why. BONUS: Record your summary/review and post it to YouTube. Or if you wrote it down, post it to Lang-8."
"Translate a text","Take 10 minutes to translate something you read recently. A partial translation is fine. Post your translation somewhere online with a link to the original source text when the 10 minutes are up. BONUS: Consider having a dedicated blog or tumblr where you can post your translations as you do them. This way you'll have a log of your study progress."
