title,subtitle
"Write 10 sentences","Write five sentences. They can be as long or as short as you like, but try to make them more than simple descriptive sentences."
"Translate something from social media","Go on Facebook or Tumblr and find a medium-sized post. Translate it into English and post the translation with a link to the original."
"Have a conversation with a friend on Whatsapp","Send a short message or few messages to a friend via Whatsapp / Signal or whatever you use. Tell them what you're up to. Perhaps ask a question or two. Spend the full 20 minutes chatting."
"Record a video of yourself speaking your language","Pick a topic, perhaps from this list (iteslj.org/questions/), and record yourself talking about that topic for 20 minutes. Try to keep speaking, regardless of whether you stumble or forget a word. BONUS: Watch the video back and make a note of things you notice you want to improve or look up as a result."
"Teach a grammatical feature","Find a friend (or willing accomplice) and teach them a grammatical feature of the language you're learning. Make sure it's small enough that you can potentially explain it within 20 minutes."
"Write a message to a teacher","If you've been studying for a year or two, you've probably worked with at least one teacher. Send them an email or message in the language you're studying. Let them know what you're up to and what kinds of things you're studying at the moment. Tell them something you appreciate that they taught you."
"Skim the top headlines on several news websites","Open up a news site that uses the language you're studying. Skim the top headlines and figure out what's happening in the world. Check other sites to see whether they're showing the same stories. BONUS: Tell a friend what you learned from your 20 minutes of news browsing."
"Read a random wikipedia page in your target language","Visit https://meta.wikimedia.org/wiki/List_of_Wikipedias, pick the wiki in your language of study, then on the left hand side find a ""random article"". Read the page for 20 minutes to understand the contents."
"Read any random text you have near you","Read for 20 minutes in any random text you have near you or on your computer / phone. BONUS: Highlight or mark any words you don't understand."
"Study using Bliubliu","Bliubliu is a great site for getting some quick reading practice. (If you don't already have an account, take the 20 minutes to get set up). Pick a topic and let Bliubliu give you short texts. Click the words you know so it knows what level you're at."
"Write a poem","Write a poem. It can be about anything. Just get writing. Don't spend too much time thinking about this one. The point is to write and use your language."
"Study using Readlang","Readlang is a service that allows you to read longer texts, look up words and test yourself on the new words you learnt while reading. (If you don't already have an account, take a few minutes to get set up). Pick a text (either an article you found online, or use the service's own library to suggest a text)."
"Tell a story","Talk for 20 minutes without stopping. The challenge is to keep going, to keep making variations on what you're saying, to keep using connector words and phrases. Tell a story about something that happened to you, or maybe explain something that happened years ago. Keep talking."
"Learn about a well-known figure","Research the biography of a well-known figure from the culture or history of the country/people who speak your target language. Use original-language materials. Get the outline of their life story. Start with local-language wikipedia."
"Zero out your Anki","If you don't know what Anki is, start here: https://alexvermeer.com/anki-essentials/. If you're using it already, take these 20 minutes to make progress zeroing out your Anki words for review today."
"Review your language-learning notebook","If you don't have a physical notebook, get one. Write down words you want to know in your target language, words you didn't understand while watching TV and so on. Review the things you've written down during the past week. Add any new words to Anki."
"Play a few rounds of Pictionary / charades using your target language","This requires multiple speakers of your target language, but if you have a group around you, get someone to mime a topic, name of a film or book and try guessing what it is using only your target language. Time yourself."
"Write a paragraph of text (no repetition edition)","Write a paragraph of text without using the same word twice. This is very hard to do in practice, even using your mother-tongue. Try not to think too much, though, and keep writing."
"Write a paragraph of text (last-letter edition)","Write a paragraph of text in which the last letter of the previous word determines the first letter of the next word. This is harder than it sounds. Try not to think too much, though, and keep writing."
"Read something written over 100 years ago","Find something written in your target language that was written over 100 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Read something written over 1000 years ago","If your language is old enough, find something written in your target language that was written over 1000 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Talk to fellow language learner","Find a friend studying the same language as you, someone at a similar competency level. Have a conversation with them."
"Take a photo and write a caption","Write a caption using your target language. Try to really flex your language muscles. Don't settle for a brief or purely descriptive caption. You have twenty minutes here, so write about what the photo reminds you of, or what thoughts it provokes. Post the photo and the caption to Facebook / Instagram or to your blog."
"Email a friend","Send an email to a friend who speaks your target language. Tell them what you're up to, what you've been studying, or anything else you'd like!"
"Write a summary of the news","Take 20 minutes to write down a summary of the important things going on in the news this week. Don't worry too much about the register or formality level of the language. Just try to communicate the important topics. Keep writing."
"Email a friend about your plans for the coming year","Send an email to a friend who speaks your target language. Tell them what you plan to do during the next 6-12 months. Tell them what you're excited about as well as what you're not looking forward to."
"Read a news article","Read through as much of a news article as is possible in 20 minutes. Either visit BBC News' local-language edition or another website published using your target language. If you finish before the time is over, start a new article."
"Write a summary of an article you read recently","Begin by explaining the overall gist of the article, then get into the specifics of how the piece argued its message. Try to use some of the same vocabulary or phrases that were used in the original article. Don't think too much about this; keep writing. Keep communicating."
"Listen to part of a podcast episode","If you don't use a podcast player, maybe spend the time setting this up. Once that's done, do a search online for ""[your language] podcasts"" and pick a few podcasts that interest you. Subscribe to them using your podcast player, and listen to 10 minutes of an episode. Your player will keep your place in the podcast for when you next listen, so don't worry if the 20 minutes finishes before the end of the episode."
"Summarise the last film you saw","Do this in writing or out loud. Describe the plot. Explain whether you liked the film or not. Explain why. BONUS: Record your summary/review and post it to YouTube. Or if you wrote it down, post it to Lang-8."
